description,language,rating,director,genre,name
"Adi and Tara are ambitious people who fall in love after meeting at a wedding. They decide on a no-strings-attached live-in relationship, but doubt their decision when their careers pull them apart.","[ ""Hindi"" ]",7.1," Shaad Ali [Drama""","[ ""Drama"", ""Romance"" ]",OK Jaanu
"Threat looms over bootlegger Raees Alam and his business after ACP Majmudar decides to get the better of him. In order to survive and keep his trade thriving, Raees must overcome Majumdar.","[ ""Hindi"" ]",7,Rahul Dholakia,"[ ""Crime"", ""Thriller"" ]",Raees
"The blissful married lives of Supriya and Rohan, a visually impaired couple, come to a halt when the former is raped by men with political links. When she commits suicide, Rohan vows to take revenge.","[ ""Hindi"" ]",7,Sanjay Gupta,"[ ""Crime"", ""Drama"", ""Romance"" ]",Kaabil
Shiv and Saira fall in love with each other and soon become inseparable. Their relationship is put to a test when Saira's reincarnated lover from the past life returns in their timeline.,"[ ""Hindi"" ]",4.1,Dinesh Vijan,"[ ""Drama"", ""Romance"" ]",Raabta
"Julia journeys to the Indo-Burma border to perform for the troops during World War II, on the insistence of Billimoria, her lover. There, she finds herself enamoured by Jemadar Malik, a soldier.","[ ""Hindi"" ]",5.8,Vishal Bhardwaj,"[ ""Drama"", ""Action"" ]",Rangoon
"Jagga's adoptive father, Bagchi, enrols him in a boarding school and mysteriously disappears. Upon growing up, Jagga goes in search of him and takes the help of Shruti, a journalist.","[ ""Hindi"" ]",6.8,Anurag Basu,"[ ""Mystery"", ""Drama"" ]",Jagga Jasoos
"A young man, who is born under an unlucky star, marries a tree first to ward off bad luck before marrying his fiancee. He is astounded when a spirit starts following him soon after.","[ ""Hindi"" ]",6.1,Anshai Lal,"[ ""Drama"", ""Fantasy"" ]",Phillauri
"Bhallaladeva conspires against his brother to become the king of Mahishmati. He soon gets him killed by Katappa and imprisons his wife. Years later, the son returns to avenge his father's death.","[ ""Hindi"" ]",8.4,S.S. Rajamouli,"[ ""Drama"", ""Fantasy"" ]",Baahubali 2: The Conclusion
"Madhav Jha, a student from Bihar, takes admission in a Delhi college and falls in love with Riya Somani. He coaxes her to be his girlfriend, but she isn't interested in anything more than friendship.","[ ""Hindi"" ]",4.8,Mohit Suri,"[ ""Drama"", ""Romance"" ]",Half Girlfriend
"During the emergency era of 1975, Rani Gitangali's palace in Jaipur is raided for gold; when the government decides to transfer the gold via road to Delhi, she asks her bodyguard to seize it back.","[ ""Hindi"" ]",5.1,Milan Luthria,"[ ""Drama"", ""Thriller"" ]",Baadshaho
A gang of five goes back to the orphanage they grew up in to attend their mentor's funeral. They come to know the truth about the place and have encounters with some friendly spirits.,"[ ""Hindi"" ]",5,Rohit Shetty,"[ ""Fantasy"" ]",Golmaal Again
"Sejal, an exuberant woman, loses her engagement ring on a trip. She then enlists the help of Harry, a flirtatious tour guide, in order to retrieve it and eventually falls in love with him.","[ ""Hindi"" ]",5.8,Imtiaz Ali,"[ ""Drama"", ""Romance"", ""Comedy"" ]",Jab Harry Met Sejal
"The life of Indian cricketer Sachin Tendulkar, capturing his cricket and personal life in detail, as well as revealing never-before-seen aspects of his life.","[ ""Hindi"" ]",8.7,James Erskine,"[ ""Sport"", ""Biography"", ""Drama"" ]",Sachin
"RAW Agent Tiger joins forces with Zoya, a Pakistani spy, in order to rescue a group of nurses who are held hostage by a terrorist organisation.","[ ""Hindi"" ]",6.2,Ali Abbas Zafar,"[ ""Drama"", ""Action"" ]",Tiger Zinda Hai
"A lawyer hoodwinks a woman to start his own law firm. However, he feels guilty after he finds out that she committed suicide and her husband was a victim of injustice and tries to make things right.","[ ""Hindi"" ]",7.3,Subhash Kapoor,"[ ""Drama"", ""Comedy"" ]",Jolly LLB 2
"Keshav falls in love with Jaya and gets married to her. However, she complains that there is no toilet in the house and he tries to pacify her with temporary arrangements.","[ ""Hindi"" ]",7.4,Shree Narayan Singh,"[ ""Drama"", ""Comedy"" ]",Toilet - Ek Prem Katha
"Insia, an ambitious young girl, dreams of becoming a singer, but faces opposition from her father. Undeterred, she strives to follow her passion by anonymously posting her songs on the Internet.","[ ""Hindi"" ]",8.1,Advait Chandan,"[ ""Drama"", ""Adventure"" ]",Secret Superstar
"Raj and Mita yearn to get Pia, their daughter, educated from a reputed school. When they learn that their background is holding her back, they are willing to go to any lengths to change her fate.","[ ""Hindi"" ]",7.9,Saket Chaudhary,"[ ""Drama"", ""Comedy"" ]",Hindi Medium
"In 1971, an Indian Naval submarine, S21, intercepts a Pakistani submarine, PNS Ghazi, in its water during a routine surveillance and thwarts its mission of destroying INS Vikrant.","[ ""Hindi"" ]",7.7,Sankalp Reddy,"[ ""Drama"", ""War"" ]",The Ghazi Attack
"Satyendra and Aarti meet for an arranged marriage and end up falling in love with each other. Their lives, however, change completely when she runs away on the wedding day.","[ ""Hindi"" ]",7.9,Vinod Bacchan,"[ ""Drama"", ""Romance"" ]",Shaadi Mein Zaroor Aana
A government clerk tries to run a free and fair election in a conflict area in central India.,"[ ""Hindi"" ]",7.8,Amit V. Masurkar,"[ ""Drama"", ""Comedy"" ]",Newton
Two friends set up a website where couples can elope and get married against the wishes of their families. Their project is an instant hit and they help different people get married.,"[ ""Hindi"" ]",6.9,Amit Roy,"[ ""Romance"", ""Comedy"" ]",Running Shaadi
"After reading a book that changes her life, Bitti is intent on meeting the author. Her quest takes her to a publisher, Chirag, who leads her to believe that the writer is Pritam Vidrohi.","[ ""Hindi"" ]",7.5,Ashwiniy Iyer Tiwari,"[ ""Romance"", ""Comedy"" ]",Bareilly Ki Barfi
"Arvind Kejriwal, the head of the Common Man's Party, confronts the status quo of corruption in India politics.","[ ""Hindi"" ]",8.9,Vinay Shukla,"[ ""Thriller"" ]",An Insignificant Man
"Badri, a wealthy man's son, meets Vaidehi at a wedding and sparks fly between them. However, while he wants nothing more than to marry her, she yearns to pursue her dream of becoming an air hostess.","[ ""Hindi"" ]",6.2,Shashank Khaitan,"[ ""Drama"", ""Romance"" ]",Badrinath Ki Dulhania
"Dev, a police officer, investigates a double murder case that has two witnesses, Vikram and Maya, who are also the suspects. To find the truth, the officer starts interrogating them.","[ ""Hindi"" ]",7.2,Abhay Chopra,"[ ""Thriller"", ""Mystery"" ]",Ittefaq
"Devki, a biology teacher, seeks help from DK, a private detective, after her stepdaughter's rapists are acquitted by the court and vows to seek revenge against the culprits.","[ ""Hindi"" ]",7.3,Ravi Udayawar,"[ ""Drama"", ""Crime"" ]",Mom
"Shaurya unintentionally locks himself inside his new house in an uninhabited high-rise, and finds it hard to survive without water, food and electricity.","[ ""Hindi"" ]",7.6,Vikramaditya Motwane,"[ ""Drama"", ""Thriller"" ]",Trapped
"Jai gets killed in an altercation with some goons, who were teasing Shabana. Later, Shabana gets a call offering help avenge Jai's death provided she agrees to join a secret intelligence agency.","[ ""Hindi"" ]",6.3,Shivan Nair,"[ ""Crime"", ""Mystery"" ]",Naam Shabana
Lipstick Under My Burkha is a 2016 Indian black comedy film written and directed by Alankrita Shrivastava and produced by Prakash Jha.,"[ ""Hindi"" ]",6.9,Alankrita Shrivastava,"[ ""Drama"", ""Comedy"" ]",Lipstick Under My Burkha
"Miami-based Gaurav wants to marry his girlfriend Kavya, but she wants her partner to be more adventurous. When he goes on an assignment to Mumbai, he is mistaken for Rishi, who works for a spy unit.","[ ""Hindi"" ]",6.4,Raj Nidimouru,"[ ""Romance"", ""Action"" ]",A Gentleman
"During the Emergency, Indu's husband, a government employee, plans to use the situation to his advantage and move ahead in his career. However, Indu's sense of morality sets her on a different path.","[ ""Hindi"" ]",6,Madhur Bhandarkar,"[ ""Drama"", ""Thriller"" ]",Indu Sarkar
"Praful, a divorcee, loses her savings in a gambling bout. She takes a loan in order to repair the damage but when she is unable to repay it, she finds herself drawn into a life of crime.","[ ""Hindi"" ]",5.5,Hansal Mehta,"[ ""Drama"", ""Crime"" ]",Simran
"Hunny, Choocha, Zafar and Lali get on with their lives after successfully getting Bholi Punjaban arrested. But they are in for a shock when she returns early from prison and tries to seek revenge.","[ ""Hindi"" ]",6.6,Mrigdeep Singh Lamba,"[ ""Drama"", ""Romance"" ]",Fukrey Returns
"A four-member team goes on a covert mission to bring back a money launderer from Malaysia. However, things complicate after one of the members goes missing.","[ ""Hindi"" ]",5.2,Deven Bhojani,"[ ""Drama"", ""Crime"" ]",Commando 2
Mudit and Sugandha's relationship suffers a setback when he discovers that he suffers from erectile dysfunction.,"[ ""Hindi"" ]",7,R.S. Prasana,"[ ""Drama"", ""Romance"" ]",Shubh Mangal Saavdhan
"Begum Jaan, who runs a brothel in villages along the Radcliffe Line, desperately strives to save her declining business amidst the changing political scenario during the Partition of India.","[ ""Hindi"" ]",5.5,Srijit Mukherjee,"[ ""Drama"", ""Action"" ]",Begum Jaan
